AdultBodyMass,DietBreadth,Diet_Invertebrates,Diet_Vertebrates,Diet_Fruits,Diet_Flowers,Diet_Seeds,Diet_Plants,Diet_Other,TrophicLevel,ActivityCycle,ForagingStratum,MigratoryStatus,IncubationTime,ClutchSize,EggLength,EggWidth,EggMass,NestingHabit,MaxLongevity,Subarid
957,3,yes,yes,no,no,no,no,yes,2,3,1,no,27,2,7.15,4.88,84.2,terrestrial,157,1
161,3,yes,yes,no,no,yes,no,no,2,3,1,yes,25.5,4.5,41.5,30.5,21.8,terrestrial,122.4,1
121,2,yes,no,no,no,yes,no,no,2,2,1,no,18,3.5,35.6,25,13,terrestrial,nan,1
48,3,yes,yes,no,no,no,yes,no,2,2,1,yes,21.5,4,36.4,26.3,12.5,terrestrial,174,1
136,3,yes,yes,no,no,no,yes,no,2,3,1,yes,23.25,3.5,39.7,28.9,17.9,terrestrial,267.6,1
49.3,5,yes,yes,no,no,yes,yes,yes,2,3,1,yes,27.5,3,nan,nan,11.2,terrestrial,223.2,1
58.1,2,yes,no,no,no,yes,no,no,2,3,1,yes,19.5,3.8,nan,nan,12,terrestrial,236.4,1
21.1,2,yes,no,no,no,no,yes,no,2,3,1,yes,20.5,4,nan,nan,6.3,terrestrial,176.4,1
216,3,yes,no,no,no,yes,yes,no,2,3,1,no,nan,1.5,45.5,31.9,24.3,terrestrial,nan,1
805.5,4,yes,yes,yes,no,yes,no,no,2,3,1,yes,28,3.5,67.6,47.9,76,terrestrial,381.6,1
69.4,2,yes,yes,no,no,no,no,no,3,3,1,yes,22.5,4,38.3,26.4,13.5,terrestrial,139.2,1
162,2,yes,yes,no,no,no,no,no,3,3,1,yes,24,4,51.4,34.8,30.5,terrestrial,292.8,1
72.1,3,yes,yes,no,no,no,yes,no,2,2,1,yes,nan,4,nan,nan,14,<NA>,85.2,0
88,2,yes,no,no,no,yes,no,no,2,3,1,yes,23.5,4,38.6,26.6,13.5,terrestrial,192,1
291,3,yes,no,yes,no,yes,no,no,2,3,1,yes,20.75,3.75,nan,nan,37,<NA>,408,1
379.5,5,yes,yes,yes,no,yes,yes,no,2,3,1,yes,23.5,4,60.3,42.05,55.5,terrestrial,290.4,1
61.3,2,yes,no,no,no,yes,no,no,2,3,1,no,14.5,4,25.25,19,nan,terrestrial,nan,1
1081,2,yes,yes,no,no,no,no,no,3,3,1,yes,27.5,3.5,nan,nan,50,arboreal,nan,1
2166.5,2,yes,yes,no,no,no,no,no,3,3,1,yes,30,2.5,nan,nan,77,arboreal,229.2,1
173,1,no,no,yes,no,no,no,no,1,3,3,no,nan,1,nan,nan,nan,arboreal,nan,1
167,3,yes,no,yes,no,yes,no,no,2,3,1,no,nan,2,nan,nan,nan,arboreal,nan,1
40.6,2,yes,no,no,no,yes,no,no,2,3,1,yes,14.5,2,nan,nan,2.7,arboreal,nan,1
235.5,1,no,no,yes,no,no,no,no,1,3,3,no,13.5,2,35,25.65,14.7,arboreal,nan,1
19.5,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,4,nan,nan,nan,terrestrial,nan,1
17.9,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,4.5,nan,nan,2.45,terrestrial,nan,1
79,1,yes,no,no,no,no,no,no,3,3,1,no,nan,2,nan,nan,nan,terrestrial,nan,0
91.5,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,3,34.9,28.1,nan,terrestrial,nan,1
185,2,yes,yes,no,no,no,no,no,3,3,1,no,24,1.5,nan,nan,nan,arboreal,nan,1
155,2,yes,yes,no,no,no,no,no,3,3,3,no,18,1,55,30,nan,terrestrial,nan,1
226,1,yes,no,no,no,no,no,no,3,3,1,no,nan,3,28,25,nan,terrestrial,nan,1
110,4,yes,yes,yes,no,yes,no,no,2,3,4,yes,nan,2.5,nan,nan,15,arboreal,nan,1
38.5,1,yes,no,no,no,no,no,no,3,3,4,yes,21,5,nan,nan,6.2,terrestrial,nan,1
170,2,yes,yes,no,no,no,no,no,3,3,1,no,15,2.5,33,26,10.2,terrestrial,nan,1
244,5,yes,yes,yes,yes,no,yes,no,2,3,3,no,13,1,37.1,28.5,nan,arboreal,nan,1
147,5,yes,yes,yes,yes,yes,no,no,2,3,3,no,14,2,34.25,27,11.35,arboreal,nan,1
110,1,yes,no,no,no,no,no,no,3,3,1,no,nan,2,34,23,nan,arboreal,nan,1
424,2,yes,no,no,no,yes,no,no,2,3,1,no,nan,3,43.5,32,nan,arboreal,nan,1
182,2,yes,no,yes,no,no,no,no,2,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,1
149.5,1,yes,no,no,no,no,no,no,3,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,1
153,4,yes,yes,yes,no,yes,no,no,2,3,1,no,nan,2,36,28,nan,arboreal,nan,1
180,3,yes,no,yes,yes,no,no,no,2,3,1,no,nan,2,29.4,27.5,nan,arboreal,nan,1
293,3,yes,no,yes,no,yes,no,no,2,3,1,no,nan,2,nan,nan,nan,arboreal,nan,0
99,3,yes,yes,yes,no,no,no,no,2,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
62.7,1,yes,no,no,no,no,no,no,3,3,3,yes,nan,nan,18,13.5,2.43,parasitic,nan,1
103.5,1,yes,no,no,no,no,no,no,3,3,1,no,13,1.1,24,17,2.2,parasitic,nan,0
160,2,yes,no,yes,no,no,no,no,2,3,1,no,nan,2,33.5,223,nan,arboreal,nan,1
250,2,yes,yes,no,no,no,no,no,3,2,4,yes,28,2.5,40.2,31.2,22,terrestrial,nan,1
390,2,yes,yes,no,no,no,no,no,3,2,4,yes,30.5,2.5,42.2,33.1,26,terrestrial,134.4,1
125,2,yes,yes,no,no,no,no,no,3,2,1,no,28,4.5,36.2,28.95,14.3,arboreal,nan,1
697.5,2,yes,yes,no,no,no,no,no,3,2,1,yes,30.25,3.06,nan,nan,48,none,300,1
174,2,yes,yes,no,no,no,no,no,3,3,4,no,29,2,40.55,32.4,25.25,arboreal,nan,1
96.5,3,yes,no,no,yes,yes,no,no,2,3,1,yes,18.5,10.5,30.4,23,8.2,terrestrial,175.2,1
76,3,yes,no,no,no,yes,yes,no,2,3,1,yes,16,6,29.15,22.6,7.5,terrestrial,nan,1
245,4,yes,no,yes,no,yes,yes,no,2,3,1,no,18.5,17.5,38.5,28.9,nan,terrestrial,nan,1
826,6,yes,no,yes,yes,yes,yes,yes,2,3,1,no,21.5,7,nan,nan,41,aquatic,68,1
305,6,yes,yes,yes,no,yes,yes,yes,2,3,1,yes,19.25,9.25,nan,nan,22.3,aquatic,223.2,1
180,nan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,nan,nan,nan,no,nan,nan,nan,nan,nan,<NA>,nan,0
246,3,yes,yes,no,no,yes,no,no,2,3,1,no,nan,2,nan,nan,nan,arboreal,nan,1
796.5,5,yes,yes,no,yes,yes,yes,no,2,2,1,no,25,4,52.2,40.7,41.5,aquatic,264,1
114,1,yes,no,no,no,no,no,no,3,3,1,no,nan,nan,nan,nan,nan,terrestrial,nan,1
26.8,2,yes,no,no,no,yes,no,no,2,3,1,no,nan,3.5,27.1,21,nan,terrestrial,nan,1
26.5,3,yes,no,no,no,yes,yes,no,2,nan,1,no,nan,nan,nan,nan,nan,<NA>,nan,0
157.35,4,yes,yes,no,no,yes,yes,no,2,3,1,no,nan,2.5,34.3,27.9,nan,terrestrial,nan,1
35.4,4,yes,yes,no,no,yes,yes,no,2,2,1,yes,18,7.4,nan,nan,6.3,terrestrial,nan,1
182.5,2,yes,yes,no,no,no,no,no,3,3,1,no,nan,4.5,nan,nan,21.5,terrestrial,nan,1
139.5,5,yes,yes,no,yes,yes,yes,no,2,2,1,yes,nan,4.4,nan,nan,13.5,aquatic,nan,1
255,2,yes,yes,no,no,no,no,no,3,2,3,no,20,4.5,45,38,nan,arboreal,nan,1
148,2,yes,no,no,no,yes,no,no,2,3,1,yes,nan,1,nan,nan,nan,arboreal,nan,1
110,2,yes,no,no,no,yes,no,no,2,3,1,no,nan,1.92,nan,nan,nan,arboreal,nan,1
137,3,yes,no,yes,no,yes,no,no,2,3,1,no,24,1.5,36.9,27.6,nan,arboreal,nan,1
17,2,yes,yes,no,no,no,no,no,3,2,1,no,nan,2.5,nan,nan,nan,arboreal,nan,1
17.5,1,yes,no,no,no,no,no,no,3,3,3,no,nan,2,nan,nan,nan,arboreal,nan,1
18.1,1,yes,no,no,no,no,no,no,3,3,3,no,nan,2,nan,nan,nan,arboreal,nan,1
18.9,2,yes,no,no,no,yes,no,no,2,3,1,no,nan,2,nan,nan,nan,terrestrial,nan,1
27.4,2,yes,yes,no,no,no,no,no,3,3,3,no,nan,2,nan,nan,nan,arboreal,nan,1
21.4,1,yes,no,no,no,no,no,no,3,3,1,no,nan,nan,nan,nan,nan,<NA>,nan,0
19.9,1,yes,no,no,no,no,no,no,3,3,1,no,nan,3,nan,nan,nan,terrestrial,nan,1
8.6,1,yes,no,no,no,no,no,no,3,3,3,no,nan,nan,nan,nan,nan,arboreal,nan,1
9.7,1,yes,no,no,no,no,no,no,3,3,1,no,nan,2,nan,nan,nan,arboreal,nan,1
23.3,1,yes,no,no,no,no,no,no,3,3,3,no,nan,2,nan,nan,nan,arboreal,nan,1
